PCA1,PCA2,PCA3,Price
0.536802487,0.184351584,0.072266314,3.09
0.447105153,0.266363444,0.11750307,3.14
0.517856759,0.125298013,0.075897019,3.53
0.430143696,-0.158763497,0.098327086,3.73
0.035668216,-0.498480556,0.214925784,4.09
-0.216341322,-0.138941852,0.201845639,4.45
-0.427790683,0.153209186,0.226604547,4.42
-0.244350669,-0.066506198,0.071072208,4.7
-0.41016949,0.311969103,-0.036647534,4.51
-0.369601748,0.100666243,-0.16195977,3.5
0.086605969,-0.317998425,-0.069418058,2.94
0.458861371,-0.0634004,-0.143211025,2.73
0.628778903,0.275337797,-0.101587236,2.78
0.586312296,0.212622545,-0.044482479,2.77
0.585552534,0.263283535,-0.11990344,2.72
0.253391604,-0.356973548,-0.017712836,2.87
0.093672638,-0.49625665,0.038954933,2.9
-0.171885773,-0.54744149,-0.00375717,2.8
-0.558567024,0.150391917,-0.119092946,2.64
-0.568074951,0.274716357,-0.12539289,2.49
-0.566435343,0.307876166,-0.175466356,2.65
-0.462956729,-0.035359848,-0.20398797,2.68
-0.026495456,-0.271377469,-0.055076423,2.64
0.373909542,-0.069768567,-0.253860795,2.61
0.473451495,0.337945626,-0.035053416,2.65
0.31101482,0.260674551,0.067952484,2.68
0.051567153,0.101531685,0.184947346,2.67
0.384225877,-0.114463372,-0.176127171,2.65
-0.156510357,-0.472647876,-0.154268063,2.49
0.010018167,0.104407368,0.179726473,2.4
0.001650372,0.109700132,0.180126508,2.39
-0.528741451,0.373896506,-0.19539467,2.3
-0.474142963,0.395031345,-0.224549897,2.01
-0.498171437,0.299257251,-0.225076664,1.88
-0.140425785,4.16E-05,-0.285728395,1.99
0.231878046,-0.244757252,-0.292551701,2.03
0.523737359,0.107051003,-0.218491691,2.13
0.510778963,0.295722452,-0.055394172,2.12
0.364182849,0.033638541,-0.052976031,2.13
0.41082901,-0.158951254,-0.139633057,2.14
-0.102481593,-0.371165297,-0.182016308,2.12
-0.372819379,-0.290774932,-0.148999517,2.08
-0.5798093,0.261883574,-0.260546947,2.08
-0.561816094,0.359292421,-0.167896837,1.79
-0.504682293,0.323134983,-0.172769842,1.84
-0.316538969,-0.068649373,-0.038225993,1.85
-0.066127252,-0.180046616,-0.144749372,1.77
0.24308088,-0.216052632,-0.139316323,1.81
0.41881321,0.183793321,-0.034695978,1.95
0.616168843,0.323787845,-0.108199712,1.97
0.525152703,0.299244724,-0.136713004,2.03
-0.387751564,-0.283041344,-0.185134437,2.2
-0.500214749,0.244596207,-0.139049277,1.89
-0.45574395,0.338114641,-0.171726729,1.66
0.051100246,0.116029733,0.192643858,1.54
-0.436414803,0.0046953,-0.19223229,1.64
-0.050847373,-0.020330511,-0.243707609,1.8
0.299734048,-0.069831914,-0.281557666,1.92
0.439324578,0.376477692,0.053742634,2.03
0.460255784,0.37990662,-0.007267431,1.97
0.591732868,0.230809747,-0.187528893,2
0.42244852,-0.060092909,-0.25791741,2
-0.109584735,-0.48325057,-0.099958792,1.92
-0.408654461,-0.324653045,-0.201632462,1.86
