PCA1,PCA2,PCA3,Price
1.65649124,0.340266018,1.003167051,1.81
4.210248867,-0.964484571,-0.275338992,1.95
4.970703385,-1.059326388,-0.547680152,1.97
3.952566692,-1.933382928,-1.184575862,2.03
-2.194611257,-0.579332867,1.513441767,2.2
-3.024368114,-1.64075711,-0.690642101,1.89
-2.888252828,-2.564226066,-1.037265445,1.66
-2.02537845,-1.779353178,-2.812155108,1.54
-2.245168653,-0.947557033,-0.249473152,1.64
0.089472458,-1.259550798,-1.103414677,1.8
1.681979331,-1.090400077,0.004743084,1.92
6.71541837,-1.263669755,-1.059637627,2.03
5.056631035,-2.302509491,-1.906542045,1.97
4.134211538,-1.610129464,0.014678277,2
2.405286545,-0.587810145,0.321689713,2
-0.9249211,0.404388218,2.783480821,1.92
-2.306753051,-0.65334017,1.900789833,1.86
-2.785551558,-1.801111499,-0.226363454,1.83
-3.632204184,-2.378719752,-1.226209801,1.95
-3.264613638,-3.147329871,-1.936195631,1.99
-1.739410758,-1.77962511,-0.938403561,1.94
-0.122818883,-0.983510729,0.733298199,1.85
0.851350625,-0.951931664,1.124734665,1.91
2.762832861,-1.445211155,-0.584020287,2.06
3.167025844,-0.646436703,0.233469132,2.01
3.674553282,-0.180778055,1.007829576,1.98
3.284321706,-0.64309335,1.773833972,1.98
0.443362509,-0.981236772,2.527755302,1.96
-1.553578272,-1.204820511,1.338642083,2
-3.269593579,-1.729662451,-0.383639256,2.05
-3.334148739,-1.902988888,-0.85348625,2.24
-3.063354049,-2.845032332,-1.854063924,2.47
-2.150882986,-1.877251418,-1.32466979,2.5
-0.256564528,-1.632774192,-0.237999859,2.36
1.644420977,-1.101514339,0.035265871,2.33
3.070083158,-0.908728666,-0.092688665,2.37
4.865989826,-0.011677788,-0.012670111,2.37
4.462652807,-1.045586637,0.300235448,2.35
1.88342514,-0.950683627,1.227328617,2.36
-0.627740692,0.07484376,2.184757857,2.4
-2.164737109,-1.028541213,1.655768476,2.43
-2.712608324,-1.630905534,-0.344619873,2.39
-3.513616296,-2.396067797,-0.895971413,2.2
-3.336530037,-2.419176556,-2.229350263,2.16
-1.528320939,-1.590294951,-0.999740518,2.18
-0.533969161,-1.029349042,0.104306,2.13
1.761233769,-1.571085225,0.46304658,2.21
3.83116603,-0.83996507,1.780536729,2.34
4.773000601,-0.904481213,-0.281479225,2.37
3.991145157,-1.251992731,-0.264422551,2.65
1.855205242,-0.808391085,2.223046664,2.77
-0.334926597,0.441222902,3.286696545,2.97
-2.471747069,-1.722628584,0.936437467,2.93
-2.978332057,-1.73642381,-0.537767732,2.87
-3.21063889,-2.955078539,-1.378894758,2.49
-2.888222981,-2.519127789,-1.570780179,2.35
-1.634215471,-1.319476206,-1.516435292,2.2
-0.622489998,-1.857725019,0.838868633,2.22
1.607370729,-1.910639222,0.265729337,2.08
3.912873403,-1.122598543,0.351530743,2.17
