,COUNTY,YEAR,MONTH,TMP_HIGH,TMP_AVG,TMP_LOW,DP_HIGH,DP_AVG,DP_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SEALVL_HIGH,SEALVL_AVG,SEALVL_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIND_HIGH,WIND_AVG,PRECIP,NUMDAY_RAIN,NUM_DAYS_SNOW,NUM_DAYS_FOG,NUM_DAYS_THNDRSTRM
37,mclean,2004,FEB,59.0,28.8620689655,3.0,45.0,23.5862068966,-4.0,100.0,81.1034482759,41.0,30.49,30.1568965517,29.33,10.0,7.58620689655,0.0,36.0,11.8965517241,0.0,5.0,12.0,2.0,0.0
38,mclean,2004,MAR,71.0,43.3225806452,17.0,63.0,34.935483871,9.0,100.0,75.064516129,22.0,30.5,30.1035483871,29.42,15.0,7.77419354839,0.0,37.0,12.9032258065,0.0,15.0,7.0,4.0,1.0
39,mclean,2004,ARP,86.0,53.0666666667,26.0,63.0,39.8,19.0,100.0,62.3333333333,26.0,30.24,30.004,29.55,20.0,9.56666666667,2.0,128.0,12.7333333333,0.0,7.0,0.0,0.0,1.0
40,mclean,2004,MAY,87.0,64.5483870968,37.0,75.0,57.3225806452,32.0,100.0,78.6774193548,31.0,30.33,29.9567741935,29.45,12.0,8.22580645161,0.0,32.0,10.8387096774,0.0,15.0,0.0,0.0,7.0
41,mclean,2004,JUN,91.0,68.9333333333,48.0,77.0,59.8,41.0,100.0,73.6666666667,33.0,30.31,30.0283333333,29.66,15.0,8.9,0.0,23.0,8.4,0.0,8.0,0.0,1.0,5.0
42,mclean,2004,JUL,87.0,69.3870967742,55.0,77.0,65.3870967742,54.0,100.0,88.8709677419,45.0,30.33,29.9796774194,29.65,10.0,7.93548387097,0.0,23.0,7.48387096774,0.0,10.0,0.0,2.0,7.0
43,mclean,2004,AUG,87.0,67.5161290323,50.0,77.0,60.0322580645,45.0,100.0,78.4193548387,36.0,30.35,30.0364516129,29.76,20.0,8.77419354839,0.0,25.0,7.51612903226,0.0,10.0,0.0,2.0,7.0
44,mclean,2004,SEP,86.0,67.7,44.0,70.0,55.1666666667,36.0,100.0,68.9,24.0,30.36,30.1233333333,29.86,10.0,8.93333333333,0.0,24.0,7.6,0.0,2.0,0.0,1.0,2.0
45,mclean,2004,OCT,80.0,54.3548387097,32.0,70.0,45.3548387097,21.0,100.0,76.0,21.0,30.45,29.984516129,29.41,10.0,7.25806451613,0.0,34.0,10.7419354839,0.0,16.0,0.0,5.0,3.0
46,mclean,2004,NOV,68.0,43.2333333333,17.0,59.0,36.9666666667,14.0,100.0,79.6,29.0,30.72,30.127,29.41,10.0,7.36666666667,0.0,32.0,10.4,0.0,12.0,3.0,4.0,0.0
47,mclean,2004,DEC,59.0,30.6129032258,0.0,54.0,24.0,-9.0,100.0,75.9032258065,34.0,30.64,30.064516129,29.35,10.0,8.41935483871,0.0,36.0,12.9032258065,0.0,7.0,6.0,4.0,0.0
48,mclean,2005,JAN,64.0,25.7419354839,-2.0,59.0,22.5161290323,-8.0,100.0,85.1290322581,51.0,30.81,30.1990322581,29.56,12.0,6.58064516129,0.0,34.0,11.5161290323,0.0,9.0,11.0,6.0,2.0
49,mclean,2005,FEB,53.0,34.0357142857,14.0,52.0,29.4642857143,3.0,100.0,83.25,41.0,30.45,30.1192857143,29.47,10.0,6.46428571429,0.0,29.0,11.0,0.13,9.0,8.0,3.0,0.0
50,mclean,2005,MAR,75.0,37.5161290323,14.0,56.0,26.1935483871,1.0,100.0,67.0,22.0,30.35,29.9487096774,29.4,10.0,8.25806451613,0.0,41.0,12.5483870968,0.65,9.0,4.0,4.0,1.0
51,mclean,2005,ARP,81.0,54.1,32.0,63.0,39.8666666667,18.0,100.0,62.9333333333,18.0,30.4,29.9443333333,29.51,10.0,8.63333333333,0.0,29.0,12.1,0.9,12.0,0.0,1.0,3.0
52,mclean,2005,MAY,86.0,60.3870967742,30.0,66.0,43.5483870968,16.0,100.0,56.064516129,17.0,30.37,29.9893548387,29.66,10.0,9.48387096774,0.0,30.0,10.2903225806,0.19,8.0,0.0,1.0,3.0
53,mclean,2005,JUN,95.0,75.1666666667,52.0,75.0,60.9333333333,43.0,100.0,63.0666666667,24.0,30.22,29.9203333333,29.68,10.0,8.8,1.0,38.0,9.26666666667,0.11,9.0,0.0,0.0,6.0
54,mclean,2005,JUL,97.0,75.7741935484,54.0,79.0,64.5483870968,49.0,100.0,70.9677419355,27.0,30.27,29.9958064516,29.71,10.0,8.35483870968,0.0,22.0,7.54838709677,2.81,10.0,0.0,4.0,5.0
55,mclean,2005,AUG,92.0,74.1612903226,52.0,77.0,64.3870967742,49.0,100.0,73.2580645161,29.0,30.21,29.9890322581,29.65,10.0,8.12903225806,0.0,39.0,5.77419354839,2.07,10.0,0.0,4.0,7.0
56,mclean,2005,SEP,92.0,70.5333333333,39.0,72.0,57.7,26.0,100.0,68.9,24.0,30.29,30.06,29.7,10.0,8.26666666667,0.0,46.0,7.26666666667,2.98,9.0,0.0,4.0,5.0
57,mclean,2005,OCT,86.0,55.1612903226,34.0,71.0,44.4838709677,28.0,100.0,70.2903225806,21.0,30.47,30.095483871,29.75,10.0,8.93548387097,0.0,24.0,9.22580645161,0.87,6.0,0.0,2.0,1.0
58,mclean,2005,NOV,70.0,42.6333333333,14.0,63.0,33.7,-7.0,100.0,71.3333333333,26.0,30.65,29.9766666667,29.29,10.0,8.76666666667,0.0,36.0,14.1666666667,2.63,7.0,3.0,1.0,3.0
59,mclean,2005,DEC,48.0,23.8709677419,0.0,46.0,20.4838709677,-7.0,100.0,85.7419354839,59.0,30.76,30.0712903226,29.46,10.0,6.8064516129,0.0,33.0,10.8064516129,0.39,3.0,15.0,9.0,0.0
60,mclean,2006,JAN,57.0,36.5483870968,21.0,57.0,32.6774193548,14.0,100.0,86.0967741935,41.0,30.59,29.9587096774,29.4,10.0,7.16129032258,0.0,58.0,13.2580645161,1.62,7.0,6.0,7.0,1.0
61,mclean,2006,FEB,62.0,29.6428571429,-1.0,59.0,19.25,-16.0,100.0,68.1428571429,19.0,30.83,30.1117857143,29.57,15.0,8.92857142857,0.0,32.0,11.7857142857,0.25,3.0,6.0,1.0,0.0
62,mclean,2006,MAR,70.0,40.3548387097,18.0,65.0,32.8387096774,13.0,100.0,77.2903225806,29.0,30.56,30.0861290323,29.16,10.0,7.48387096774,0.0,36.0,12.6774193548,1.44,14.0,4.0,5.0,5.0
