"STATION","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00115927","1998-08",,,"7","6","0","0",,,,,,,"0","0.0","1.88",,,,,,,,,,,,,,,,"4.77","0.0",,,
"USC00115927","1998-09",,,"9","2","0","0",,,,,,,"0","0.0","0.29",,,,,,,,,,,,,,,,"0.66","0.0",,,
"USC00115927","1998-10",,,"10","8",,"0",,,,,,,,"0.0","0.65",,,,,,,,,,,,,,,,"2.72","0.0",,,
"USC00115927","1998-11",,,"8","3","0","0",,,,,,,"0","0.0","0.69",,,,,,,,,,,,,,,,"1.84","0.0",,,
"USC00115927","1998-12",,,"5","3","1","1",,,,,,,"6","5.8","0.30",,,,,,,,,,,,,,,,"0.70","6.0",,,
"USC00115927","1999-01",,,"12","6",,"1",,,,,,,,"1.5","0.39",,,,,,,,,,,,,,,,"1.50","3.0",,,
"USC00115927","1999-02",,,"12","5","3","0",,,,,,,"1","0.8","1.26",,,,,,,,,,,,,,,,"2.67","2.2",,,
"USC00115927","1999-03",,,"3","3","2","1",,,,,,,"6","5.5","1.06",,,,,,,,,,,,,,,,"1.83","5.5",,,
"USC00115927","1999-04",,,"15","12","0","0",,,,,,,"0","0.0","1.24",,,,,,,,,,,,,,,,"5.73","0.0",,,
"USC00115927","1999-05",,,"10","6","0","0",,,,,,,"0","0.0","2.08",,,,,,,,,,,,,,,,"4.37","0.0",,,
"USC00115927","1999-06",,,"11","7","0","0",,,,,,,"0","0.0","1.51",,,,,,,,,,,,,,,,"4.85","0.0",,,
"USC00115927","1999-07",,,"8","5","0","0",,,,,,,"0","0.0","1.63",,,,,,,,,,,,,,,,"3.81","0.0",,,
"USC00115927","1999-08",,,"8","5","0","0",,,,,,,"0","0.0","5.08",,,,,,,,,,,,,,,,"7.48","0.0",,,
"USC00115927","1999-09",,,"2","2","0","0",,,,,,,"0","0.0","1.28",,,,,,,,,,,,,,,,"1.60","0.0",,,
"USC00115927","1999-10",,,"6","5","0","0",,,,,,,"0","0.0","0.79",,,,,,,,,,,,,,,,"2.65","0.0",,,
"USC00115927","1999-11",,,"2","1","0","0",,,,,,,"0","0.0","0.35",,,,,,,,,,,,,,,,"0.37","0.0",,,
"USC00115927","1999-12",,,"13","7",,"1",,,,,,,,"3.1","0.94",,,,,,,,,,,,,,,,"2.34","5.4",,,
"USC00115927","2000-01",,,"7","5","9","3",,,,,,,"6","4.5","0.38",,,,,,,,,,,,,,,,"1.09","9.3",,,
"USC00115927","2000-02",,,"9","1","3","0",,,,,,,"5","0.2","1.08",,,,,,,,,,,,,,,,"1.35","0.3",,,
"USC00115927","2000-03",,,"9","7","2","2",,,,,,,"2","2.3","0.89",,,,,,,,,,,,,,,,"2.33","4.2",,,
"USC00115927","2000-04",,,"9","7","0","0",,,,,,,"0","0.2","1.00",,,,,,,,,,,,,,,,"3.51","0.2",,,
"USC00115927","2000-05",,,"10","6","0","0",,,,,,,"0","0.0","0.90",,,,,,,,,,,,,,,,"2.36","0.0",,,
